STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,2,1,15,2,5,C,14,J12115,NPT-25C,2017,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,604.400715682,16226.7217682,37.0319553,125.9871512,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,241.591776878,2029.45276586,37.032782,125.9817691,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,458.647868932,10149.6581517,37.0331149,125.9837505,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2017,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,190.251748462,2108.31377563,37.0348134,125.9855965,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,189.338587821,1679.28966218,37.0351594,125.9794016,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2017,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,372.377587216,6026.64012349,37.0355701,125.9872021,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2017,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,916.510028801,20812.3587793,37.035935,125.9909147,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,1191.04561724,36369.814996,37.0377917,125.9896328,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,815.202860497,16125.3939507,37.0695762,125.9507632,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,556.255241368,8866.02279521,37.075735,125.9512205,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,1306.9916618,22844.6687679,37.076796,125.9478317,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,101.868099694,477.418159909,37.0800044,125.9720497,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,1905.11440337,62632.0518428,37.0787839,125.9502797,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,1160.11424553,15255.8011879,37.0806739,125.950557,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,1052.05593509,17475.6235239,37.0815142,125.9469075,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,836.771273256,14015.745657,37.0842806,125.9496298,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,220.087362989,2763.04855571,37.0868382,125.9491524,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2018,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,758.709426835,19019.0924802,37.0230909,125.9995158,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2021,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,2427.47137543,74300.6511522,37.0231545,125.9955757,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,1263.21625179,33481.5000126,37.0258597,125.9955172,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,103.107179835,658.293513657,37.0269703,125.9977755,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2021,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,2940.044589,89485.0963214,37.0272087,125.9910805,인천광역시
1,2,1,15,2,5,C,12,J12115,NPT-25C,,,침엽수림,곰솔,중경목,5영급,밀,임분고 11m 이상 13m미만,391.543711279,5522.29186518,37.0688908,126.0166706,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2019,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,869.280875201,24907.9528904,37.0770404,125.9435673,인천광역시
1,2,1,15,2,5,C,14,J12115,NPT-25C,2018,,침엽수림,곰솔,중경목,5영급,밀,임분고 13m 이상 15m미만,837.179612293,24175.1763746,37.0854258,125.9515958,인천광역시
1,2,2,30,1,2,B,10,J12230,NEB-12B,2019,,활엽수림,기타활엽수,소경목,2영급,중,임분고 9m 이상 11m미만,210.72760496,1323.87563622,37.0580476,125.994584,인천광역시
1,2,2,30,1,2,B,02,J12230,NEB-12B,2019,,활엽수림,기타활엽수,소경목,2영급,중,임분고 1m 이상 3m미만,232.368973668,1781.56819767,37.0616253,125.9970539,인천광역시
1,2,2,30,1,2,B,02,J12230,NEB-12B,2019,,활엽수림,기타활엽수,소경목,2영급,중,임분고 1m 이상 3m미만,193.345269694,1148.7068368,37.0644781,125.9967336,인천광역시
1,2,2,30,1,2,B,10,J12230,NEB-12B,2021,,활엽수림,기타활엽수,소경목,2영급,중,임분고 9m 이상 11m미만,330.01665661,3105.10805704,37.0805326,125.9480028,인천광역시
1,2,2,30,1,2,C,10,J12230,NEB-12C,2019,,활엽수림,기타활엽수,소경목,2영급,밀,임분고 9m 이상 11m미만,439.573246335,8191.2603452,37.0589955,125.9987905,인천광역시
1,2,2,30,1,2,C,10,J12230,NEB-12C,2021,,활엽수림,기타활엽수,소경목,2영급,밀,임분고 9m 이상 11m미만,753.818307031,9513.78129492,37.0660991,126.0145588,인천광역시
1,2,2,30,1,3,B,12,J12230,NEB-13B,2017,,활엽수림,기타활엽수,소경목,3영급,중,임분고 11m 이상 13m미만,407.057556898,6449.75686654,37.0232183,126.0018085,인천광역시
1,2,2,30,1,3,B,12,J12230,NEB-13B,2019,,활엽수림,기타활엽수,소경목,3영급,중,임분고 11m 이상 13m미만,938.897571334,21858.486535,37.0231979,126.0083937,인천광역시
1,2,2,30,1,3,B,12,J12230,NEB-13B,2018,,활엽수림,기타활엽수,소경목,3영급,중,임분고 11m 이상 13m미만,1214.4173337,19720.6340415,37.0237433,125.9991859,인천광역시
1,2,2,30,1,3,B,12,J12230,NEB-13B,2019,,활엽수림,기타활엽수,소경목,3영급,중,임분고 11m 이상 13m미만,153.846135311,1124.06375184,37.0296211,126.0197171,인천광역시
1,2,2,30,1,3,B,04,J12230,NEB-13B,2023,,활엽수림,기타활엽수,소경목,3영급,중,임분고 3m 이상 5m미만,99.0361068539,350.080757376,37.0574376,126.0107851,인천광역시
1,2,2,30,1,3,B,12,J12230,NEB-13B,2019,,활엽수림,기타활엽수,소경목,3영급,중,임분고 11m 이상 13m미만,161.220209792,1154.24723253,37.0602986,125.9624468,인천광역시
1,2,2,30,1,3,B,04,J12230,NEB-13B,2019,,활엽수림,기타활엽수,소경목,3영급,중,임분고 3m 이상 5m미만,2183.99764347,65118.498291,37.0627816,125.9957611,인천광역시
1,2,2,30,1,3,B,12,J12230,NEB-13B,2019,,활엽수림,기타활엽수,소경목,3영급,중,임분고 11m 이상 13m미만,507.360277706,7931.71225376,37.0667128,125.9432329,인천광역시
1,2,2,30,1,3,B,02,J12230,NEB-13B,2021,,활엽수림,기타활엽수,소경목,3영급,중,임분고 1m 이상 3m미만,181.060837995,1497.21476934,37.0788799,125.9453893,인천광역시
1,2,2,30,1,3,B,04,J12230,NEB-13B,2019,,활엽수림,기타활엽수,소경목,3영급,중,임분고 3m 이상 5m미만,150.556206419,1472.88392135,37.0807907,125.9888543,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,1694.85581837,26055.1343808,37.0191133,126.0004827,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2017,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,578.155119679,7104.94856375,37.0232418,126.0006642,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,623.641907819,12724.3629995,37.0254594,126.012531,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,530.0774246,3815.58836282,37.0263232,125.9971092,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2021,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,863.692157078,18097.5691756,37.0258263,126.0158603,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2021,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,362.757108106,2507.95646112,37.0279467,126.0184591,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,175.055317459,1728.17140921,37.0286677,126.0190252,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,57.4050078718,196.502488504,37.0301013,126.0199686,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2017,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,386.433517934,9141.81952335,37.0341611,125.9864483,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,663.312580384,10980.7732922,37.0344368,125.9799573,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2017,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,452.647600651,9937.98273493,37.0358998,125.9847452,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2021,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,3117.61691314,92605.8017299,37.0346818,125.9823938,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2021,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,880.547024952,24178.3199256,37.0363062,126.0240552,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,2904.94289688,64564.0621004,37.0379836,125.9835957,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,555.354261914,8018.29767746,37.0392991,125.9872298,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,221.418528569,2092.37835164,37.0398414,125.9848255,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,578.673143594,11086.1240831,37.0393245,125.9859505,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,300.77187322,2067.53535642,37.0570264,125.962137,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,300.223186982,3023.23997458,37.0575833,125.9625817,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,413.625209076,3557.29717785,37.0596322,125.9673506,인천광역시
1,2,2,30,1,3,C,08,J12230,NEB-13C,2021,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 7m 이상 9m미만,752.571948692,21308.8159925,37.0671442,126.0150527,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2018,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,224.109034704,2703.89361018,37.0690677,125.9514241,인천광역시
1,2,2,30,1,3,C,06,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 5m 이상 7m미만,575.545519773,11878.2445161,37.0689689,125.9936039,인천광역시
1,2,2,30,1,3,C,04,J12230,NEB-13C,,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 3m 이상 5m미만,566.832693175,10658.6756387,37.0703282,126.0047751,인천광역시
1,2,2,30,1,3,C,14,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 13m 이상 15m미만,365.376156588,3941.78802624,37.071187,126.0164597,인천광역시
1,2,2,30,1,3,C,14,J12230,NEB-13C,,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 13m 이상 15m미만,399.996605054,3669.85793351,37.0716628,126.0182874,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2021,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,240.74174844,2448.97473222,37.0714191,125.9458714,인천광역시
1,2,2,30,1,3,C,10,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 9m 이상 11m미만,322.113884479,3067.32919244,37.0720046,126.0172541,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,220.596104527,1767.96309693,37.0716052,125.9496059,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,188.023214558,1642.42027544,37.0728417,125.9494327,인천광역시
1,2,2,30,1,3,C,04,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 3m 이상 5m미만,156.907609977,1282.67987727,37.0734846,125.9551532,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,448.684591519,3958.93503091,37.0757406,125.9475872,인천광역시
