STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,1,1,12,2,4,C,14,J11112,APK-24C,2023,,침엽수림,잣나무,중경목,4영급,밀,임분고 13m 이상 15m미만,327.818350988,2137.40723101,37.5565027,126.8684852,서울특별시
1,1,1,12,2,4,C,14,J11112,APK-24C,2023,,침엽수림,잣나무,중경목,4영급,밀,임분고 13m 이상 15m미만,236.594588552,3249.13058929,37.5694233,126.892319,서울특별시
1,1,1,12,2,4,C,32,J11112,APK-24C,,,침엽수림,잣나무,중경목,4영급,밀,임분고 31m 이상 33m미만,497.733307359,5015.51421308,37.57099,126.8965603,서울특별시
1,1,1,12,2,4,C,30,J11112,APK-24C,2023,,침엽수림,잣나무,중경목,4영급,밀,임분고 29m 이상 31m미만,208.581668236,1894.2288333,37.5726286,126.8978778,서울특별시
1,1,1,12,2,4,C,14,J11112,APK-24C,2023,,침엽수림,잣나무,중경목,4영급,밀,임분고 13m 이상 15m미만,463.202723696,12108.2443324,37.5735494,126.8928564,서울특별시
1,1,1,12,2,4,C,12,J11112,APK-24C,2023,,침엽수림,잣나무,중경목,4영급,밀,임분고 11m 이상 13m미만,178.685416391,2052.93506862,37.5781319,126.8862806,서울특별시
1,1,1,12,2,4,C,12,J11112,APK-24C,2023,,침엽수림,잣나무,중경목,4영급,밀,임분고 11m 이상 13m미만,188.239017676,2336.55529616,37.584009,126.9015314,서울특별시
1,1,1,12,2,4,C,12,J11112,APK-24C,2018,,침엽수림,잣나무,중경목,4영급,밀,임분고 11m 이상 13m미만,788.202166036,17914.7282366,37.5878379,126.9024366,서울특별시
1,1,1,12,2,4,C,12,J11112,APK-24C,2023,,침엽수림,잣나무,중경목,4영급,밀,임분고 11m 이상 13m미만,506.906906648,6068.85394078,37.5965584,126.9032726,서울특별시
1,1,1,12,2,4,C,12,J11112,APK-24C,,,침엽수림,잣나무,중경목,4영급,밀,임분고 11m 이상 13m미만,953.955703023,16974.3823136,37.587754,126.8985398,서울특별시
1,1,1,12,2,5,C,14,J11112,APK-25C,2021,,침엽수림,잣나무,중경목,5영급,밀,임분고 13m 이상 15m미만,383.162271725,7432.80053257,37.608571,126.9047925,서울특별시
1,1,1,13,2,4,C,16,J11113,ALL-24C,2017,,침엽수림,낙엽송,중경목,4영급,밀,임분고 15m 이상 17m미만,510.193526362,9380.28390534,37.5768064,126.8865987,서울특별시
1,1,1,13,2,4,C,18,J11113,ALL-24C,,,침엽수림,낙엽송,중경목,4영급,밀,임분고 17m 이상 19m미만,305.463967686,3727.65373253,37.5788721,126.8855814,서울특별시
1,1,1,14,2,4,C,14,J11114,APR-24C,,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,668.942154192,14884.8379022,37.5416261,126.8585762,서울특별시
1,1,1,14,2,5,C,16,J11114,APR-25C,2021,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 15m 이상 17m미만,727.508457307,10787.6541393,37.5924352,126.8991178,서울특별시
1,1,1,14,2,5,C,14,J11114,APR-25C,2021,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 13m 이상 15m미만,348.073712249,6552.57696108,37.5991081,126.9014859,서울특별시
1,1,1,14,2,5,C,14,J11114,APR-25C,2021,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 13m 이상 15m미만,281.980282112,5819.86948846,37.6004339,126.9009964,서울특별시
1,1,1,14,2,5,C,12,J11114,APR-25C,2021,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 11m 이상 13m미만,350.253866021,6121.42921686,37.601499,126.9004302,서울특별시
1,1,1,14,2,5,C,14,J11114,APR-25C,2023,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 13m 이상 15m미만,261.528745307,2918.23378442,37.5435035,126.8683255,서울특별시
1,1,1,14,2,5,C,12,J11114,APR-25C,2023,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 11m 이상 13m미만,234.90508114,2982.59816428,37.5518101,126.857346,서울특별시
1,1,1,17,0,1,A,00,J11117,ACP-01A,2025,"2018사유림_조림(편백,2-2),2016사유림_조림(편백,2-2)",침엽수림,편백나무,치수,1영급,소,임분고 1m 미만,2048.03514848,68175.9649378,37.5947374,126.9031614,서울특별시
1,1,2,45,2,4,B,26,J11245,APO-24B,,,활엽수림,포플러,중경목,4영급,중,임분고 25m 이상 27m미만,204.210128615,1685.9675319,37.5712647,126.8908564,서울특별시
1,1,2,45,2,4,B,30,J11245,APO-24B,,,활엽수림,포플러,중경목,4영급,중,임분고 29m 이상 31m미만,292.043144645,2916.01956467,37.571882,126.890898,서울특별시
1,1,2,45,2,4,C,26,J11245,APO-24C,,,활엽수림,포플러,중경목,4영급,밀,임분고 25m 이상 27m미만,523.024014283,8082.68377347,37.5423464,126.8786315,서울특별시
1,1,2,45,2,4,C,14,J11245,APO-24C,,,활엽수림,포플러,중경목,4영급,밀,임분고 13m 이상 15m미만,318.075588275,4500.47179231,37.5572515,126.8681752,서울특별시
