HSTR_MNNMB,ETC_PCMTT,임도명,시설거리(km),개설연도,FRRD_FCLTW,FRRD_DV_I,FRRD_DV_B,FRRD_INSTT,FRRD_MGC,FRRD_RGSNO,RBP_X,RBP_Y,REP_X,REP_Y,MAP_LABEL,FR_TH_DV,FR_TH_YR,FRRD_THM,Shape_Leng,지역,위도,경도,상세주소,읍면동
0.0,,15구운,2.04,2015,3.0,1,2,61,1400438,북부_춘천_2015_06,1004884.2281,2016142.8738,1005245.974,2017111.893,15춘천_06,,,,819.153948013,강원특별자치도,38.14547907857919,127.55574100828645,"만산동로, 구운리, 상서면, 화천군, 강원특별자치도, 24105, 대한민국",상서면
0.0,,20파포,3.66,2020,4.0,1,1,61,1400438,북부_춘천_2020_05,1009024.0711,2015811.7523,1010862.7659,2016693.5284,20춘천_05,,,,3798.09020162,강원특별자치도,38.142462869897564,127.60298250957989,"만산동로, 구운리, 상서면, 화천군, 강원특별자치도, 24105, 대한민국",상서면
0.0,,95잠곡,4.0,1995,4.0,1,1,61,1400438,북부_춘천_1995_05,997558.814,2015860.2648,997655.8406,2016868.3006,95춘천_05,,,,1803.93076031,강원특별자치도,38.14294193670443,127.47214105121785,"근남면, 철원군, 강원특별자치도, 24065, 대한민국",근남면
0.0,,15명월(관사촌),2.14,2015,4.0,1,1,61,1400438,북부_춘천_2015_01,1002668.4747,2016592.1271,1001958.7016,2015661.5007,15춘천_01,,,,1760.44057391,강원특별자치도,38.149537329226966,127.53045552175857,"수피령로, 명월리, 사내면, 화천군, 강원특별자치도, 24148, 대한민국",사내면
0.0,((자료부재-임도화)),08용화동,2.01,2008,4.0,1,1,61,1400438,북부_춘천_2008_03,987330.8255,2016138.5846,986707.506012,2016503.73565,08춘천_03,,,,1414.19958424,강원특별자치도,38.14536466051591,127.35541393840126,"신철원리, 철원군, 강원특별자치도, 24051, 대한민국",신철원리
0.0,,92잠곡,8.4,1992,4.0,1,1,61,1400438,북부_춘천_1992_04,995708.7859,2014533.0424,995358.1433,2018554.2279,92춘천_04,,,,3993.22765008,강원특별자치도,38.13097319298958,127.45103642774387,"잠곡리, 근남면, 철원군, 강원특별자치도, 24065, 대한민국",근남면
0.0,,17신철원,3.32,2017,4.0,1,1,61,1400438,북부_춘천_2017_06,987042.0412,2016928.8054,985016.5536,2017241.5972,17춘천_06,,,,19.1124322679,강원특별자치도,38.15248253395609,127.35210383844888,"신철원리, 철원군, 강원특별자치도, 24051, 대한민국",신철원리
0.0,,석포(봉화-삼척),7.2,1993,4.0,1,1,63,1400456,남부_영주_1993_04,1146230.319,1896654.1788,1145089.3216,1899469.3827,93영주_04,,,,7303.3939753,강원특별자치도,37.057078283219376,129.14464702707633,"석포면, 봉화군, 경상북도, 대한민국",석포면
0.0,봉명관리소~3호선,9호선,0.6,2017,4.0,1,1,69,C010160,학술_강원_2017_02,1027686.5108,1975310.8065,1028122.9551,1975489.4503,17강원_02,,,,606.207609479,강원특별자치도,37.7770551289714,127.81439589753613,"봉명길, 동산면, 춘천시, 강원특별자치도, 24410, 대한민국",동산면
0.0,봉명관리소~3호선,9호선,0.6,2018,4.0,1,1,69,C010160,학술_강원_2018_02,1028167.5571,1975351.8665,1028122.9551,1975489.4503,18강원_02,,,,601.849851795,강원특별자치도,37.77741050591532,127.8198599657669,"봉명길, 동산면, 춘천시, 강원특별자치도, 24410, 대한민국",동산면
