amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm,가까운_지점,가까운_기상지점명,기상지점거리_km,지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),일시_dt,지점_clean,지점주소_x,시작일,종료일,지점주소_y,위도,경도
940.0,41,4556,1940,41820350,4,,0,27,41820,2020,27,127.4366124,37.9668188,경기도 가평군 북면 적목리 산135,원인미상,월요일,4.0,2020-04-27,2020,1847,539,포천이동,8.746844430625856,539.0,포천이동,2020-04-27,9.2,0.0,2.2,2020-04-27,포천이동,경기도 포천시 이동면 장암리,2016-08-01,2020-10-13,경기도 포천시 이동면 장암리,38.0242,127.3657
4623.0,41,4555,1530,41800310,4,,0,27,41800,2020,27,127.0286389,38.0558587,경기도 연천군 군남면 황지리 산219,산업현장실화,월요일,4.0,2020-04-27,2020,1352,652,연천청산,5.423926117953135,652.0,연천청산,2020-04-27,10.1,0.0,1.2,2020-04-27,연천청산,경기도 연천군 청산면 초성리,2016-08-01,2020-10-23,경기도 연천군 청산면 초성리,38.0265,127.0781
5011.0,42,4554,1240,42730360,4,,0,27,42730,2020,27,127.9645782,37.5471496,강원도 횡성군 공근면 학담리 산7,입산자실화추정,월요일,4.0,2020-04-27,2020,1128,340,공근,2.531935456598903,,,,,,,,,,,,,,
4772.0,30,4553,1750,30230116,4,,0,26,30230,2020,26,127.4257867,36.4186179,대전광역시 대덕구 상서동 산37-2,성묘객실화,일요일,4.0,2020-04-26,2020,1643,648,장동,1.2480583013389073,648.0,장동,2020-04-26,11.5,0.0,1.5,2020-04-26,장동,대전광역시 대덕구 장동,2008-08-26,2024-09-03,대전광역시 대덕구 장동,36.4135,127.4382
15881.0,41,4552,2000,41410109,4,,0,26,41410,2020,26,126.928082,37.3146026,경기도 군포시 도마교동 산11,산업현장실화,일요일,4.0,2020-04-26,2020,1614,445,의왕,4.838607058305064,445.0,의왕,2020-04-26,10.0,0.0,1.4,2020-04-26,의왕,경기도 의왕시 고천동,2011-08-31,2099-12-31,,37.3445,126.9688
15881.0,41,4552,2000,41410109,4,,0,26,41410,2020,26,126.928082,37.3146026,경기도 군포시 도마교동 산11,산업현장실화,일요일,4.0,2020-04-26,2020,1614,445,의왕,4.838607058305064,445.0,의왕,2020-04-26,10.0,0.0,1.4,2020-04-26,의왕,경기도 의왕시 고천동,2003-08-12,2021-05-04,경기도 의왕시 고천동,37.3417,126.9709
494.0,41,4551,1630,41670108,4,,0,26,41670,2020,26,127.6366138,37.2735,경기도 여주시 교동 산6-14,원인미상,일요일,4.0,2020-04-26,2020,1545,548,여주,0.5856190082780312,548.0,여주,2020-04-26,12.1,0.0,1.9,2020-04-26,여주,경기도 여주시,2017-08-25,2023-11-04,경기도 여주시,37.2688,127.6396
6736.0,42,4550,1530,42110310,4,,0,26,42110,2020,26,127.8010513,37.8975131,강원도 춘천시 동면 감정리 산118-1,원인미상,일요일,4.0,2020-04-26,2020,1327,978,춘천신북,6.708748775857656,978.0,춘천신북,2020-04-26,11.2,0.0,2.0,2020-04-26,춘천신북,강원특별자치도 춘천시 신북읍 유포리,2018-02-01,2025-10-01,강원특별자치도 춘천시 신북읍 유포리,37.9546,127.7763
23003.0,41,4549,1400,41650380,4,,0,26,41650,2020,26,127.3784252,38.0391999,경기도 포천시 이동면 장암리 산19,원인미상,일요일,4.0,2020-04-26,2020,1136,539,포천이동,1.9029455653676246,539.0,포천이동,2020-04-26,9.5,0.0,2.0,2020-04-26,포천이동,경기도 포천시 이동면 장암리,2016-08-01,2020-10-13,경기도 포천시 이동면 장암리,38.0242,127.3657
24541.0,43,4548,2001,43800340,4,,0,25,43800,2020,25,128.3305302,37.1024017,충청북도 단양군 어상천면 연곡리 산147-3,입산자실화,토요일,4.0,2020-04-25,2020,1630,601,단양,11.258277930375186,601.0,단양,2020-04-25,13.7,0.0,1.8,2020-04-25,단양,충청북도 단양군 단양읍 도담리,2017-08-25,2023-06-28,충청북도 단양군 단양읍 별곡리,36.9855,128.3669
26309.0,46,4547,1830,46720350,4,,0,25,46720,2020,25,127.3759125,35.1184328,전라남도 곡성군 죽곡면 원달리 산82,입산자실화,토요일,4.0,2020-04-25,2020,1510,794,황전,5.081629755818915,794.0,황전,2020-04-25,12.2,0.0,2.3,2020-04-25,황전,전라남도 순천시 황전면 괴목리,2016-06-17,2022-10-06,전라남도 순천시 황전면 괴목리,35.1007,127.4274
84441.0,50,4546,1455,50110256,4,,2,25,50110,2020,25,126.7599507,33.5327791,제주특별자치도 제주시 구좌읍 김녕리 산111,원인미상(담배꽁초추정),토요일,4.0,2020-04-25,2020,1233,305,여서도,52.54684007761687,305.0,여서도,2020-04-25,15.1,0.0,2.7,2020-04-25,여서도,전라남도 완도군 청산면 여서리,2015-07-13,2024-10-15,전라남도 완도군 청산면 여서리,33.9862,126.9201
10501.0,48,4545,1600,48870400,4,,0,25,48870,2020,25,127.6567167,35.5093667,경상남도 함양군 병곡면 연덕리 산369,기계톱과열,토요일,4.0,2020-04-25,2020,1221,379,번암,10.575114736832228,,,,,,,,,,,,,,
28613.0,46,4544,1422,46790400,4,,0,25,46790,2020,25,127.1170148,35.0775489,전라남도 화순군 동복면 연월리 산78-1,농산폐기물소각,토요일,4.0,2020-04-25,2020,1139,755,백아면,9.547602983172895,755.0,백아면,2020-04-25,12.2,0.0,2.3,2020-04-25,백아면,전라남도 화순군 북면 용곡리,2010-12-01,2020-10-23,전라남도 화순군 북면 옥리,35.1594,127.0853
2580.0,44,4543,940,44790310,4,,0,25,44790,2020,25,126.8872759,36.5322752,충청남도 청양군 운곡면 신대리 산124,입산자실화추정,토요일,4.0,2020-04-25,2020,700,632,유구,5.4332181152798755,632.0,유구,2020-04-25,13.6,0.0,3.5,2020-04-25,유,충청남도 공주시 유구읍 만천리,2020-02-04,2099-12-31,충청남도 공주시 유구읍 만천리,36.5406,126.9472
