amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm
23441,48,4290,1420,48270320,03,,0,19,48270,2020,19,14332613.26,4234903.851,경상남도 밀양시 상동면 안인리 산132-2,입산자실화추정,목요일,03,20200319,2020,1105
466,41,4289,1038,41610259,03,,0,19,41610,2020,19,14179455.27,4491909.78,경기도 광주시 곤지암읍 오향리 산28,담뱃불실화,목요일,03,20200319,2020,1020
4338,27,4288,1130,27710256,03,,0,19,27710,2020,19,14302875.19,4283076.839,대구광역시 달성군 다사읍 서재리 산39-4,입산자실화,목요일,03,20200319,2020,0934
18947,11,4286,0520,11350105,03,,0,19,11350,2020,19,14145219.89,4532811.019,서울특별시 노원구 상계동 산121,입산자실화,목요일,03,20200319,2020,0330
46410,46,4285,1950,46170370,03,,1,18,46170,2020,18,14094507.62,4171482.313,전라남도 나주시 문평면 오룡리 산21,쓰레기소각,수요일,03,20200318,2020,1704
1417,41,4284,1703,41480102,03,,0,18,41480,2020,18,14112960.59,4545921.653,경기도 파주시 아동동 산21,담뱃불실화,수요일,03,20200318,2020,1602
467,27,4283,1329,27290116,03,,0,18,27290,2020,18,14309193.6,4273426.01,대구광역시 달서구 도원동 산229-8,입산자실화,수요일,03,20200318,2020,1316
1375,48,4282,1600,48850310,03,,0,18,48850,2020,18,14209895.89,4196462.049,경상남도 하동군 화개면 운수리 산47-1,건축물실화,수요일,03,20200318,2020,1307
4669,44,3450,1350,44810320,10,,0,31,44810,2018,31,14126062,4379123.225,충청남도 예산군 신양면 여래미리 산55-2,입산자 실화추정(조사중),수요일,10,20181031,2018,1220
3419,28,3449,0800,28720330,10,,0,23,28720,2018,22,13882426.05,4576848.303,인천광역시 옹진군 백령면 진촌리 산149,군부대훈련(조명탄에 의한 발화),월요일,10,20181022,2018,1830
5274,47,3448,1936,47250400,10,,0,20,47250,2018,20,14242724.38,4350781.335,경상북도 상주시 화동면 반곡리 산128-1,원인미상,토요일,10,20181020,2018,1650
2231,26,3447,1600,26290106,10,,0,20,26290,2018,20,14369319.24,4184366.235,부산광역시 남구 대연동 산54-33,입산자 실화추정,토요일,10,20181020,2018,1456
8203,47,3446,1540,47830370,10,,0,18,47830,2018,18,14274879.57,4255417.721,경상북도 고령군 쌍림동 신곡리 산56-2,입산자 실화추정,목요일,10,20181018,2018,1147
2402,42,3445,1520,42810310,10,,0,04,42810,2018,04,14267464.47,4579900.62,강원도 인제군 남면 남전리 산226-1,입산자 실화,목요일,10,20181004,2018,1330
17339,11,3444,0900,11110111,10,,0,04,11110,2018,04,14133180.21,4520909.491,서울특별시 종로구 옥인동 산3-14,산신각 건축물 화재 비화추정,목요일,10,20181004,2018,0351
1276,46,3443,1630,46780340,10,,0,03,46780,2018,03,14161141.78,4148736.058,전라남도 보성군 율어면 이동리 산63,성묘객 실화,공요일,10,20181003,2018,1435
1719,47,3442,1340,47840370,10,,0,02,47840,2018,02,14271105.51,4298405.3,경상북도 성주군 벽진동 봉학리 산72-1,입산자 실화추정,화요일,10,20181002,2018,1145
2525,47,3441,1730,47250430,09,,0,30,47250,2018,30,14258089.48,4366156.738,경상북도 상주시 외서면 대전광역시리 산167,입산자 실화추정(조사중),일요일,09,20180930,2018,1500
13733,28,3440,1845,28720350,09,,0,25,28720,2018,25,14044631.68,4468215.412,인천광역시 옹진군 덕적면 소야리 산103,원인미상,공요일,09,20180925,2018,1156
6164,41,3439,1730,41650370,09,,0,11,41650,2018,11,14177706.12,4574427.74,경기도 포천시 일동면 화대리 산113,불발조명탄 자연발화 추정,화요일,09,20180911,2018,1333
1372,45,3438,1800,45710380,08,,0,22,45710,2018,22,14171607.37,4316804.291,전라북도 완주군 운주면 완창리 산27,쓰레기 소각,수요일,08,20180822,2018,1612
933,43,3437,1616,43740360,08,,0,22,43740,2018,22,14223834.24,4317757.937,충청북도 영동군 양강면 남전리 산14-2,원인미상,수요일,08,20180822,2018,1531
3936,26,3436,1102,26440115,08,,0,22,26440,2018,22,14344067.64,4185817.113,부산광역시 강서구 미음동 산16,입산자 담뱃불 실화추정,수요일,08,20180822,2018,0914
1619,41,3435,1335,41590370,08,,0,20,41590,2018,20,14119814.53,4448287.454,경기도 화성시 장안동 어은리 산79-1,원인미상,월요일,08,20180820,2018,1223
1235,45,3434,1817,45210107,08,,0,19,45210,2018,19,14123977.54,4274544.064,전라북도 김제시 서암동 산27-2,성묘객 실화,일요일,08,20180819,2018,1635
2060,46,3433,1830,46890340,08,,0,19,46890,2018,19,14127564.81,4077452.348,전라남도 완도군 약산면 득암리 산23-2,원인미상,일요일,08,20180819,2018,1635
549,43,3432,1620,43800310,08,,0,19,43800,2018,19,14290955.89,4418095.206,충청북도 단양군 대강면 덕촌리 산45,조림지 풀베기 사업장 실화,일요일,08,20180819,2018,1600
6862,43,3431,1720,43760320,08,,0,19,43760,2018,19,14237361.57,4421811.246,충청북도 괴산군 장연면 조곡리 산122-3,조림지 풀베기 사업장 실화,일요일,08,20180819,2018,1420
3157,43,3430,1540,43111320,08,,0,19,43111,2018,19,14216719.26,4385344.21,충청북도 청주시 상당구 미원면 월용리 산63-1,쓰레기 소각,일요일,08,20180819,2018,1340
5114,48,3429,1600,48870340,08,,0,19,48870,2018,19,14227871.02,4241972.504,경상남도 함양군 수동면 도북리 산33,입산자 실화,일요일,08,20180819,2018,0942
