발생연도,발생일자,발생시간,진화시간_분,주소,시군구,발생원인,피해면적,대형산불여부,평균기온(°C),일강수량(mm),평균 풍속(m/s),기상데이터_출처
2020,20200323,2322,168.0,경상남도 산청군 신안면 문대리 산7,산청군,입산자실화추정,0,False,10.4,0.0,2.4,경상남도 산청군 시천면 중산리
2020,20200323,2005,160.0,경상북도 구미시 도개면 신곡리 산6,구미시,농산폐기물소각,0,False,11.4,0.0,2.5,경상북도 구미시 선산읍 이문리
2020,20200323,1721,39.0,경상남도 창원시 마산합포구 진북면 망곡리 산79,창원시,입산자실화,0,False,12.3,0.0,2.0,경상남도 창원시 마산회원구 양덕동
2020,20200323,1653,57.0,경상북도 경주시 동천동 산7-6,경주시,입산자실화,0,False,9.76,0.0,2.48,경상북도 경주시 황성동
2020,20200323,1427,298.0,전라남도 담양군 월산면 월평리 산1-1,담양군,쓰레기소각,0,False,8.4,0.0,2.25,전라남도 담양군 봉산면 삼지리
2020,20200323,1316,64.0,경기도 양평군 옥천면 용천리 산29-21,양평군,소각재 투기,0,False,7.833333333333333,0.0,1.4,경기도 양평군 용문면 중원리
2020,20200323,1314,286.0,경기도 양평군 양동면 단석리 산70,양평군,입산자실화추정,1,False,7.833333333333333,0.0,1.4,경기도 양평군 용문면 중원리
2020,20200323,1309,471.0,울산광역시 울주군 두서면 전읍리 산3,울주군,쓰레기소각,11,False,11.475,0.0,3.125,울산광역시 울주군 삼동면 금곡리
2020,20200323,1225,95.0,전라북도 임실군 임실읍 신정리 64,임실군,양수기과열,0,False,6.8,0.0,2.1500000000000004,전북특별자치도 임실군 강진면
2020,20200323,1112,93.0,경기도 광주시 곤지암읍 열미리리 산72-1,광주시,담뱃불실화,0,False,9.7,0.0,1.5,경기도 광주시 송정동
2020,20200323,201,89.0,부산광역시 남구 대연동 산92-1,남구,입산자실화,0,False,12.1,0.0,3.1,부산광역시 남구 감만동
2020,20200322,1617,83.0,충청남도 금산군 금산읍 양지리 산87-1,금산군,쓰레기소각,0,False,9.690909090909091,0.0,3.2181818181818183,충남 광역 평균
2020,20200322,1518,72.0,경기도 파주시 광탄면 용미리 산48-1,파주시,성묘객실화,0,False,9.2,0.0,2.033333333333333,경기도 파주시 장단면 도라산리
2020,20200322,1437,43.0,인천광역시 서구 백석동 산2-1,서구,불법소각,0,False,10.05,0.0,1.75,인천광역시 서구 경서동
2020,20200322,1405,175.0,경기도 동두천시 걸산동 산104,동두천시,건축물실화,0,False,10.430357142857144,0.0,2.2875,경기 광역 평균
2020,20200322,1314,396.0,경상북도 안동시 풍천면 어담리 산46-1,안동시,농산폐기물소각,18,False,12.25,0.0,2.2,경상북도 안동시 예안면 정산리
2023,20230330,1315,55.0,인천광역시 서구 왕길동 산 76-6,서구,담뱃불실화,0,False,10.05,0.0,1.2000000000000002,인천광역시 서구 경서동
2023,20230320,245,59.0,인천광역시 계양구 효성동 99-19,계양구,원인미상,0,False,4.847619047619047,0.0285714285714285,1.5476190476190477,인천 광역 평균
2023,20230305,1540,30.0,인천광역시 남동구 장수동 산 61-16,남동구,원인미상,0,False,4.023809523809524,0.0,1.26,인천 광역 평균
2023,20230220,1129,101.0,대구광역시 군위군 소보면 내의리 산 167-1,군위군,담뱃불실화,0,False,-0.6666666666666666,0.0,2.2666666666666666,대구광역시 군위군 수서리
2023,20230402,1148,3252.0,대구광역시 군위군 소보면 보현리 산 5,군위군,용접실화,23,False,11.2,0.0,2.1,대구광역시 군위군 수서리
2023,20230225,1352,88.0,대구광역시 달성군 다사읍 부곡리 산 9,달성군,성묘객실화,0,False,2.3000000000000003,0.0,2.533333333333333,대구광역시 달성군 다사읍 문산리
2023,20230416,1222,46.0,대구광역시 달서구 성당동 산 206-1,달서구,입산자실화추정(등산객),0,False,11.133333333333333,0.0,1.4444444444444444,대구 광역 평균
2023,20230307,1345,195.0,대구광역시 수성구 지산동 산 35,수성구,쓰레기소각,0,False,11.066666666666666,0.0,1.6875,대구 광역 평균
2023,20230307,1828,82.0,대구광역시 북구 노곡동 산 70,북구,담뱃불실화,0,False,12.4,0.0,1.6,대구광역시 북구 서변동
2023,20230308,1420,162.0,대구광역시 북구 조야동 산 7-1,북구,입산자실화추정,0,False,12.9,0.0,1.3,대구광역시 북구 서변동
2023,20230311,1435,445.0,대구광역시 남구 대명동 산 196-3,남구,입산자실화추정,0,False,15.333333333333334,0.0,1.3222222222222222,대구 광역 평균
2023,20230304,1809,1071.0,대구광역시 남구 대명동 산 306,남구,입산자실화,1,False,6.822222222222222,0.0,1.2888888888888888,대구 광역 평균
